joueurId(Number);tour(Number);texteCoordCase(String);natureFond(String);estEnregistre(Boolean);estMemorise(Boolean);dicoEspeceQt(nil)
1;1;41°48',10°14';rocher;true;false;Dictionary (#Bar->1.0 #Merlu->1.2 )
1;1;41°42',10°17';rocher;true;true;Dictionary (#Bar->1.0 #Merlu->1.2 )
2;1;41°2',11°59';vase;true;true;Dictionary (#Sole->0.4 #Seiche->1.6 #Merlu->3.4 )
1;1;41°36',10°14';rocher;true;false;Dictionary (#Bar->0.9 #Merlu->1.1 )
2;1;41°5',12°2';vase;true;false;Dictionary (#Sole->0.4 #Seiche->1.5 #Merlu->3.2 )
2;1;41°10',12°5';vase;true;false;Dictionary (#Sole->0.1 #Seiche->0.5 #Merlu->3.0 )
3;1;41°30',12°23';sable;true;false;Dictionary (#Merlu->1.6 )
3;1;41°22',12°20';sable;true;true;Dictionary (#Sole->0.2 #Seiche->0 #Merlu->1.6 )
3;1;41°8',12°23';sable;false;false;Dictionary (#Sole->0.2 #Seiche->0 #Merlu->1.5 )
1;2;41°2',10°17';sable;true;false;Dictionary (#Sole->1.6 #Seiche->0.2 #Merlu->0.5 )
2;2;40°59',11°47';vase;true;true;Dictionary (#Sole->0.6 #Seiche->2.5 #Merlu->2.6 )
3;2;41°48',11°38';sable;true;true;Dictionary (#Sole->2.3 #Bar->1.8 #Seiche->0.4 #Merlu->1.4 )
1;2;41°8',10°14';sable;true;false;Dictionary (#Sole->1.5 #Seiche->0.2 #Merlu->0.4 )
3;2;41°51',11°41';sable;true;true;Dictionary (#Sole->2.2 #Bar->1.7 #Seiche->0.4 #Merlu->1.3 )
1;2;41°10',10°11';sable;true;false;Dictionary (#Sole->1.5 #Seiche->0.2 #Merlu->0.4 )
3;2;41°51',11°41';sable;false;false;Dictionary (#Sole->0.6 #Bar->0.4 #Seiche->0.1 #Merlu->0.4 )
2;2;40°53',12°17';sable;true;false;Dictionary (#Sole->0.5 #Seiche->2.3 #Merlu->2.2 )
2;2;40°59',12°17';sable;true;false;Dictionary (#Sole->0.5 #Seiche->2.3 #Merlu->2.1 )
1;3;41°42',10°20';rocher;true;false;Dictionary (#Bar->0.9 #Merlu->1.2 )
1;3;41°36',10°17';rocher;true;false;Dictionary (#Bar->0.9 #Merlu->1.2 )
1;3;41°33',10°8';sable;true;false;Dictionary (#Sole->1.3 #Bar->0.8 #Seiche->0.3 #Merlu->1.1 )
3;3;41°33',10°8';sable;true;false;Dictionary (#Sole->1.6 #Bar->1.6 #Seiche->0.4 #Merlu->1.8 )
3;3;41°51',10°17';rocher;true;false;Dictionary (#Bar->1.7 #Merlu->1.8 )
3;3;41°51',10°17';rocher;false;false;Dictionary (#Bar->1.6 #Merlu->1.7 )
3;3;41°54',10°14';rocher;true;false;Dictionary (#Bar->0.4 #Merlu->0.4 )
2;3;41°33',10°50';sable;true;true;Dictionary (#Sole->0.4 #Seiche->1.9 #Merlu->2.8 )
2;3;41°33',11°41';sable;true;false;Dictionary (#Sole->0.3 #Seiche->1.4 #Merlu->2.7 )
2;3;41°22',11°41';vase;true;false;Dictionary (#Sole->0.3 #Seiche->1.6 #Merlu->2.5 )
1;4;41°19',10°11';sable;true;false;Dictionary (#Sole->1.5 #Seiche->0.2 #Merlu->0.4 )
1;4;41°8',10°14';sable;true;false;Dictionary (#Sole->1.4 #Seiche->0.2 #Merlu->0.4 )
2;4;41°33',10°56';vase;true;false;Dictionary (#Sole->0.4 #Seiche->1.1 #Merlu->1.2 )
3;4;41°33',10°50';sable;true;false;Dictionary (#Sole->1.7 #Seiche->0.2 #Merlu->0.7 )
2;4;41°22',11°23';vase;true;false;Dictionary (#Sole->0.4 #Bar->0.7 #Seiche->1.1 #Merlu->2.3 )
1;4;40°56',10°11';sable;true;false;Dictionary (#Sole->1.4 #Seiche->0.2 #Merlu->0.4 )
3;4;41°48',11°38';sable;true;false;Dictionary (#Sole->2.0 #Bar->1.3 #Seiche->0.4 #Merlu->1.2 )
2;4;41°2',11°56';vase;true;false;Dictionary (#Sole->0.5 #Seiche->2.1 #Merlu->2.1 )
3;4;41°45',11°35';sable;true;false;Dictionary (#Sole->1.9 #Bar->1.2 #Seiche->0.4 #Merlu->1.1 )
2;5;41°30',10°20';vase;true;false;Dictionary (#Sole->0.4 #Bar->0.8 #Seiche->1.9 #Merlu->3.3 )
2;5;41°28',10°20';vase;true;false;Dictionary (#Sole->0.4 #Bar->0.7 #Seiche->1.8 #Merlu->3.2 )
2;5;41°28',10°23';vase;true;false;Dictionary (#Sole->0.4 #Bar->0.7 #Seiche->1.8 #Merlu->3.0 )
1;5;41°54',10°20';rocher;true;false;Dictionary (#Bar->0.7 #Merlu->1.0 )
3;5;41°51',10°20';rocher;true;false;Dictionary (#Bar->1.4 #Merlu->1.6 )
1;5;41°57',10°5';rocher;true;false;Dictionary (#Bar->0.6 #Merlu->1.0 )
1;5;41°36',10°14';rocher;true;false;Dictionary (#Bar->0.6 #Merlu->0.9 )
3;5;42°0',10°5';rocher;true;false;Dictionary (#Bar->1.3 #Merlu->1.5 )
3;5;41°33',10°8';sable;true;false;Dictionary (#Sole->1.5 #Bar->1.1 #Seiche->0.3 #Merlu->1.4 )
2;6;41°25',10°26';vase;true;false;Dictionary (#Sole->0.4 #Seiche->1.1 #Merlu->1.2 )
1;6;40°59',10°14';sable;true;false;Dictionary (#Sole->1.4 #Seiche->0.2 #Merlu->0.4 )
2;6;41°22',10°29';vase;true;false;Dictionary (#Sole->0.4 #Seiche->1.1 #Merlu->1.2 )
1;6;40°50',10°17';vase;true;false;Dictionary (#Sole->1.3 #Seiche->0.2 #Merlu->0.4 )
2;6;41°8',10°35';vase;true;false;Dictionary (#Sole->0.4 #Seiche->1.0 #Merlu->1.2 )
1;6;41°8',10°20';vase;true;false;Dictionary (#Sole->1.3 #Seiche->0.2 #Merlu->0.4 )
3;6;41°51',11°41';sable;true;false;Dictionary (#Sole->1.9 #Bar->1.0 #Seiche->0.4 #Merlu->1.3 )
3;6;41°33',11°29';rocher;true;false;Dictionary (#Bar->1.1 #Merlu->1.2 )
3;6;41°10',11°5';rocher;true;false;Dictionary (#Bar->0.9 #Merlu->0.6 )
1;7;41°51',10°20';rocher;true;false;Dictionary (#Bar->0.6 #Merlu->1.2 )
2;7;41°28',10°44';sable;true;false;Dictionary (#Sole->0.4 #Seiche->1.9 #Merlu->3.3 )
1;7;41°45',10°17';rocher;true;false;Dictionary (#Bar->0.6 #Merlu->1.1 )
2;7;41°28',10°32';vase;true;false;Dictionary (#Sole->0.4 #Seiche->1.8 #Merlu->3.1 )
2;7;41°28',10°26';vase;true;false;Dictionary (#Sole->0.4 #Seiche->1.8 #Merlu->2.9 )
1;7;41°36',10°17';rocher;true;false;Dictionary (#Bar->0.6 #Merlu->1.0 )
3;7;42°0',10°23';rocher;true;false;Dictionary (#Bar->1.1 #Merlu->1.5 )
3;7;42°3',10°5';rocher;true;false;Dictionary (#Bar->1.1 #Merlu->1.5 )
3;7;41°33',10°8';sable;false;false;Dictionary (#Sole->1.5 #Bar->0.9 #Seiche->0.3 #Merlu->1.5 )
